"","HPO_ID","Term_Name","GeneRatio","pvalues","Count"
"6912","HP:0004746","Glomerular subendothelial electron-dense deposits","1/7",0.00153677277716813,1
"6913","HP:0005389","Depletion of components of the alternative complement pathway","1/7",0.00153677277716813,1
"7649","HP:0025348","Abnormality of the corneal limbus","1/7",0.00153677277716813,1
"7650","HP:0025612","Corneal astigmatism","1/7",0.00153677277716813,1
"7651","HP:0500070","Conjunctival dermolipoma","1/7",0.00153677277716813,1
"7652","HP:0007873","Abnormally prominent line of Schwalbe","1/7",0.00153677277716813,1
"8126","HP:0030044","Flexion contracture of digit","1/7",0.00153677277716813,1
"4042","HP:0007730","Iris hypopigmentation","2/7",0.00211766600463281,2
"4966","HP:0011500","Polycoria","1/7",0.00307152082076911,1
"7768","HP:0008718","Unilateral renal dysplasia","1/7",0.00307152082076911,1
"1801","HP:0002861","Melanoma","2/7",0.00354824218746264,2
"3228","HP:0000502","Abnormal conjunctiva morphology","1/7",0.00460424635431955,1
"6214","HP:0031057","Skin fissure","1/7",0.00460424635431955,1
"7056","HP:0010945","Fetal pyelectasis","1/7",0.00460424635431955,1
"6683","HP:0005369","Decreased serum complement factor H","1/7",0.00613495159938093,1
"6910","HP:0011419","Placental abruption","1/7",0.00613495159938093,1
"7292","HP:0200098","Absent skin pigmentation","1/7",0.00613495159938093,1
"3785","HP:0005416","Decreased serum complement factor B","1/7",0.00766363877556298,1
"5416","HP:0011493","Central opacification of the cornea","1/7",0.00766363877556298,1
"3626","HP:0030834","Shoulder pain","1/7",0.00919031010052374,1
"4657","HP:0031159","Thinning of Descemet membrane","1/7",0.00919031010052374,1
"6895","HP:0025547","Decreased mean corpuscular hemoglobin concentration","1/7",0.00919031010052374,1
"6911","HP:0008071","Maternal hypertension","1/7",0.00919031010052374,1
"1478","HP:0100515","Pollakisuria","1/7",0.0107149677899712,1
"2983","HP:0010677","Enuresis nocturna","1/7",0.0107149677899712,1
"3997","HP:0005356","Decreased serum complement factor I","1/7",0.0107149677899712,1
"4581","HP:0007990","Hypoplastic iris stroma","1/7",0.0107149677899712,1
"5365","HP:0410019","Epigastric pain","1/7",0.0107149677899712,1
"1534","HP:0000989","Pruritus","2/7",0.0110160122022409,2
"2835","HP:0004722","Thickened glomerular basement membrane","1/7",0.0122376140576648,1
"4470","HP:0010957","Congenital posterior urethral valve","1/7",0.0122376140576648,1
"3105","HP:0003641","Hemoglobinuria","1/7",0.0137582511154163,1
"4001","HP:0000587","Abnormality of the optic nerve","1/7",0.0137582511154163,1
"6516","HP:0100601","Eclampsia","1/7",0.0137582511154163,1
"2180","HP:0002289","Alopecia universalis","1/7",0.0152768811730914,1
"4125","HP:0001981","Schistocytosis","1/7",0.0152768811730914,1
"5319","HP:0000168","Abnormality of the gingiva","1/7",0.0152768811730914,1
"4011","HP:0005421","Decreased serum complement C3","1/7",0.0167935064386114,1
"4650","HP:0011483","Anterior synechiae of the anterior chamber","1/7",0.0167935064386114,1
"6414","HP:0012330","Pyelonephritis","1/7",0.0167935064386114,1
"1865","HP:0000523","Subcapsular cataract","1/7",0.0183081291179535,1
"2081","HP:0100519","Anuria","1/7",0.0183081291179535,1
"3507","HP:0007410","Palmoplantar hyperhidrosis","1/7",0.0183081291179535,1
"4867","HP:0000481","Abnormal cornea morphology","1/7",0.0183081291179535,1
"5343","HP:0000558","Rieger anomaly","1/7",0.0183081291179535,1
"5352","HP:0011510","Drusen","1/7",0.0183081291179535,1
"6061","HP:0031013","Ankylosis","1/7",0.0183081291179535,1
"1299","HP:0000982","Palmoplantar keratoderma","2/7",0.0192762034082646,2
"2833","HP:0005575","Hemolytic-uremic syndrome","1/7",0.0198207514151525,1
"3571","HP:0004324","Increased body weight","1/7",0.0198207514151525,1
"3788","HP:0001937","Microangiopathic hemolytic anemia","1/7",0.0198207514151525,1
"3820","HP:0100825","Cheilitis","1/7",0.0198207514151525,1
"5387","HP:0007430","Generalized edema","1/7",0.0228400036695569,1
"788","HP:0004298","Abnormality of the abdominal wall","1/7",0.0243466380251324,1
"2056","HP:0000593","Abnormal anterior chamber morphology","1/7",0.0243466380251324,1
